C001,6298317.444,349056.967,601.445,okok
C002,6298319.911,349056.657,601.590,okok
C003,6298319.233,349053.799,601.522,okok
C004,6298316.779,349054.456,601.570,okok rr
C005,6298319.244,349063.810,601.664,okok
C006,6298321.630,349063.179,601.592,okok
C007,6298320.646,349059.380,601.560,okok
C008,6298318.364,349060.001,601.505,okok rr
C009,6298318.634,349050.706,601.846,okok
C010,6298313.919,349052.038,601.849,okok
C011,6298313.407,349050.492,601.689,okok
C012,6298318.128,349049.262,601.716,okok rr
C013,6298318.070,349049.255,601.705,terra
C014,6298319.181,349053.756,601.977,terra
C015,6298319.927,349056.609,601.949,terra
C016,6298320.555,349059.299,601.939,terra
C017,6298320.843,349060.369,601.984,terra
C018,6298323.511,349059.480,601.569,terra
C019,6298328.281,349058.180,601.586,terra
C020,6298332.247,349057.020,602.033,terra xxx
C021,6298318.581,349068.355,601.926,terra
C022,6298318.087,349066.430,601.736,terra
C023,6298317.467,349064.134,601.790,terra
C024,6298316.391,349060.627,601.506,terra
C025,6298315.852,349060.648,601.479,terra
C026,6298315.547,349059.817,601.474,terra
C027,6298314.613,349059.967,601.470,terra
C028,6298314.226,349059.030,601.380,terra xxx
C029,6298315.228,349058.035,601.380,arb
